1AM-DAILY-RA,1 A.M. DAILY FUND,ONE ASSET MANAGEMENT LIMITED,-,SM,No,-,-,1900145581,12.4863,9/5/2023,0.0078,0.0003,0.0014,0.0038,0.0065,0.0093,0.0043,0.0062,0.0104,-%,-%,-%,-%,0.05,0.04,0.05,0.06,06/2023,-,0.77,-,-,27.3,71.94,-,-,0,0,0,0,0.92769,0.31,4.28,0.43,-,-
1AM-DAILY-SSF,1 A.M. DAILY FUND,ONE ASSET MANAGEMENT LIMITED,-,SM,No,-,-,56477462.8,12.4854,9/5/2023,0.0078,0.0003,0.0014,0.0038,0.0065,0.0093,-%,-%,-%,-%,-%,-%,-%,0.05,-,-,-,06/2023,-,0.77,-,-,27.3,71.94,-,-,0,0,0,0,1.07,0.31,4.28,0.43,-,-
1AM-GEM,1 A.M. GLOBAL EMERGING MARKET EQUITY FUND,ONE ASSET MANAGEMENT LIMITED,-,SM,-,-,-,7018997.94,9.1725,9/1/2023,0.0075,0.0201,-0.0305,0.0331,-0.0192,-0.081,-0.0434,-0.0089,0.0087,-0.1291,-0.3179,-0.3179,-0.3221,14.07,15.52,17.2,15,06/2023,-,-,97.95,-,2.05,-,-,-,1.07,1.07,1.07,0.27,1.68525,1.07,6.42,1.22,-,-
1AM-TG,1 A.M. THAI GOVERNMENT BOND FUND ,ONE ASSET MANAGEMENT LIMITED,-,SM,-,-,-,439854519.2,12.2264,9/5/2023,0.0087,0.0003,0.0015,0.0037,0.0067,0.0132,0.0046,0.006,0.0105,-%,-0.0009,-0.0009,-0.0009,0.13,0.09,0.08,0.11,06/2023,-,-,-,-,2.22,97.78,-,-,0,0,0,0,0.92769,0.31,4.28,0.45,-,-
1AMGBF,1 A.M. GLOBAL BOND FUND,ONE ASSET MANAGEMENT LIMITED,FIXGLDISC,AM,Yes,4,-,1599941850,16.0079,27/11/19,0.0723,-%,-%,-0.0043,0.0483,0.0723,0.0211,0.0294,0.0419,-0.0075,-0.0233,-0.0723,-0.0723,2.7,3,4.06,4.7,08/2019,0,0.09,0,0,54.92,44.66,0,0.33,0.107,0.0535,ไม่มี,0,0.1605,0.107,4.28,0.1391,1000000,-
1AMGFF,1 A.M. GLOBAL FIXED INCOME FUND,ONE ASSET MANAGEMENT LIMITED,FIXGLDISC,AM,Yes,4,-,4786707128,14.7321,27/11/19,0.0589,-%,-%,-0.0012,0.0324,0.0639,0.0269,0.0271,0.0378,-0.0042,-0.021,-0.0307,-0.0399,2.05,2.26,2.8,3.71,07/2019,0,12.12,7.63,0,46.9,33.28,0,0.08,ไม่มี,0,ไม่มี,0,0.8025,0.4815,4.28,0.5136,1000000,-
1AMSET50,1 A.M. SET 50 Fund,ONE ASSET MANAGEMENT LIMITED,-,AM,-,-,-,-,-,-,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-,-,-,-,06/2023,97.92,-,-,-,2.08,-,-,-,-,-,-,-,-,-,-,-,-,-
1AMSET50-IA,1 A.M. SET 50 Fund,ONE ASSET MANAGEMENT LIMITED,-,AM,No,-,-,-,-,-,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-,-,-,-,06/2023,97.92,-,-,-,2.08,-,-,-,-,-,-,-,-,-,-,-,-,-
1AMSET50-ID,1 A.M. SET 50 Fund,ONE ASSET MANAGEMENT LIMITED,-,AM,Yes,-,-,300515159.4,58.8152,9/5/2023,-0.0382,-0.0162,0.0119,0.0315,0.0095,-0.0036,0.0581,-%,-%,-0.1092,-0.1092,-%,-%,10.74,13.9,-,-,06/2023,97.92,-,-,-,2.08,-,-,-,2.14,0.21,2.14,0,2.14,0.52,6.42,0.66,-,-
1AMSET50-RA,1 A.M. SET 50 Fund,ONE ASSET MANAGEMENT LIMITED,-,AM,No,-,-,1507873793,60.9417,9/5/2023,-0.0376,-0.0162,0.0119,0.0315,0.0099,-0.0027,0.0582,-0.0111,0.0426,-0.1086,-0.1086,-0.3999,-0.4067,10.74,13.48,17.39,15.48,06/2023,97.92,-,-,-,2.08,-,-,-,0.27,0.27,0,0,0.52002,0.52,6.42,0.66,-,-
1AMSET50-RD,1 A.M. SET 50 Fund,ONE ASSET MANAGEMENT LIMITED,-,AM,Yes,-,-,-,-,-,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-,-,-,-,06/2023,97.92,-,-,-,2.08,-,-,-,-,-,-,-,-,-,-,-,-,-
1AMSET50-RU,1 A.M. SET 50 Fund,ONE ASSET MANAGEMENT LIMITED,-,AM,No,-,-,265094019.7,60.5967,9/5/2023,-0.0383,-0.0162,0.0119,0.0314,0.0094,-0.0038,0.057,-0.0122,0.042,-0.1092,-0.1092,-0.4005,-0.4077,10.74,13.48,17.38,15.48,06/2023,97.92,-,-,-,2.08,-,-,-,2.14,0.54,2.14,0,2.675,0.52,6.42,0.66,-,-
1DIV,ThaiDEX SET High Dividend ETF,ONE ASSET MANAGEMENT LIMITED,-,PM,-,-,-,144767956.5,10.3405,9/5/2023,-0.049,-0.0055,-0.0165,0.0026,0.001,-0.0242,0.085,-0.0255,-0.0096,-0.1061,-0.1128,-0.4943,-0.5393,10.69,13.62,18.62,17.33,06/2023,96.61,-,-,-,3.39,-,-,-,0,0,0,0,1.1235,0.88,6.42,1.4,-,-
